trade_date,hold_codes,hold_count,avg_return,net_return,nav,top1_code,top1_score
2024-01-31,"sh.600340,sh.601118,sh.600637",3,-0.09061366128791613,-0.09661366128791614,903386.3387120839,sh.600340,0.013591506634207346
2024-02-29,"sh.600340,sh.601118,sh.600637",3,0.0570155283153968,0.0510155283153968,949473.0700543928,sh.600340,0.014093894284135391
2024-03-29,"sh.601816,sh.601236,sh.600919",3,-0.018221103096136202,-0.024221103096136204,926475.7849376004,sh.601816,0.007059409314193861
2024-04-30,"sh.600340,sh.601118,sh.600637",3,-0.08717878349579662,-0.09317878349579663,840147.8983588014,sh.600340,0.01400728189940214
2024-05-31,"sh.600340,sh.600637,sh.600100",3,-0.03985055878200207,-0.04585055878200207,801626.6477595257,sh.600340,0.013982155787568083
2024-06-28,"sh.601816,sh.601236,sh.600919",3,-0.008485770665348833,-0.014485770665348834,790014.4679808489,sh.601816,0.007061730694606253
2024-07-31,"sh.600340,sh.600606,sh.600100",3,0.0330956823302154,0.0270956823302154,811420.449041532,sh.600340,0.015267661592039305
2024-08-30,"sh.603501,sh.600009,sh.603993",3,-0.052910444134275536,-0.058910444134275534,763619.310008862,sh.603501,0.006637184334708262
2024-09-30,"sh.600340,sh.600100,sh.603160",3,0.26981781287354994,0.26381781287354994,965075.6862434094,sh.600340,0.015169900050629697
2024-10-31,"sh.600340,sh.600606,sh.601118",3,0.1726836451836451,0.1666836451836451,1125938.0195045688,sh.600340,0.01387854910312814
2024-11-29,"sh.603501,sh.600009,sh.603993",3,-0.04141458786964974,-0.047414587869649735,1072552.13234299,sh.603501,0.006647307131752393
2024-12-31,"sh.600340,sh.601118,sh.600100",3,-0.0583603204905255,-0.06436032049052551,1003522.3333625987,sh.600340,0.012833093399181919
2025-01-27,"sh.603501,sh.600009,sh.603993",3,0.02342248091456846,0.01742248091456846,1021006.1820629517,sh.603501,0.006651249184741431
2025-02-28,"sh.600340,sh.601118,sh.600606",3,0.0735382860434195,0.0675382860434195,1089963.189639219,sh.600340,0.012813732040746225
2025-03-31,"sh.600340,sh.600606,sh.601118",3,-0.07801621066593246,-0.08401621066593247,998388.6126803787,sh.600340,0.013359517238161943
2025-04-30,"sh.600340,sh.601118,sh.600606",3,-0.025555555555555564,-0.031555555555555566,966883.905346909,sh.600340,0.012843952373357946
2025-05-30,"sh.603501,sh.600009,sh.603993",3,-0.00837261960575427,-0.01437261960575427,952987.2507724317,sh.603501,0.006678246849719134
2025-06-30,"sh.600340,sh.600606,sh.601118",3,-0.007882328401929832,-0.013882328401929833,939757.5687943565,sh.600340,0.013283687281718436
2025-07-31,"sh.600340,sh.601118,sh.601198",3,0.0066256576424162,0.0006256576424162,940345.5352992911,sh.600340,0.01352169717503765
2025-08-29,"sh.601995,sh.601066,sh.601198",3,0.09546284827931427,0.08946284827931426,1024471.5252539022,sh.601995,0.0068881684640443325
2025-09-30,"sh.600340,sh.600606,sh.601198",3,-0.028605371470879937,-0.034605371470879935,989019.3075611519,sh.600340,0.013771408381220257
2025-10-31,"sh.600340,sh.600606,sh.601118",3,-0.0025175073961727656,-0.008517507396172765,980595.3282940421,sh.600340,0.013793790506487305
2025-11-28,"sh.601198,sh.601995,sh.601066",3,-0.023445961538038036,-0.029445961538038037,951720.755972716,sh.601198,0.006898028346354288
