year_month,date,code,close,peTTM,turn,tradestatus,pctChg,PE_inv,market_cap,roe,div_ratio,profit_growth,Quality,return,excess_return,next_excess_return,mkt_excess,SMB,year_month_str
2015-02,2015-02-27,sh.600028,6.32,11.463565,0.807344,1,3.0995,0.0872328983174082,384057524471.4601,0.1410276751443948,-0.0064995549392223,0.1944775628269394,-0.0001782614640393,0.0480928689883914,0.0465928689883914,0.012740506329114,0.0296304360285737,384057524471.4601,2015-02
2015-03,2015-03-31,sh.600028,6.41,16.362354,0.867106,1,-1.2327,0.0611159005605183,378592804906.9006,0.1092154532039051,0.0152252254939014,-0.2302148857635972,-0.0003828081960363,0.014240506329114,0.012740506329114,0.2652706708268329,0.1306921286359586,378592804906.9006,2015-03
2015-04,2015-04-30,sh.600028,8.12,27.585673,0.96663,1,-2.2864,0.0362507015870158,375061782821.4903,0.0789986136352918,0.0174594429633921,0.1666589275093615,0.0002298679570907,0.2667706708268329,0.2652706708268329,-0.1135689655172413,0.1836053083340825,375061782821.4903,2015-04
2015-05,2015-05-29,sh.600028,7.21,24.494175,0.695188,1,-1.7711,0.0408260331282845,352644049465.1677,0.0047662653267268,0.0801661254611312,0.2136510493166854,8.163457554910073e-05,-0.1120689655172413,-0.1135689655172413,-0.0223044382801665,0.0367940593089737,352644049465.1677,2015-05
2015-06,2015-06-30,sh.600028,7.06,23.984588,0.69768,1,4.5926,0.04169344080457,367089074054.1864,0.1722206097527543,0.0661371776829302,0.0842866967494083,0.000960041074736,-0.0208044382801665,-0.0223044382801665,-0.15164164305949,-0.0740369838395192,367089074054.1864,2015-06
2015-07,2015-07-31,sh.600028,6.0,20.383502,0.285269,1,-2.5974,0.0490592833361019,372024277122.3704,0.0386160017771971,0.0598785628728439,0.1378228046186594,0.0003186836315765,-0.15014164305949,-0.15164164305949,-0.1764999999999999,-0.1449332845010149,372024277122.3704,2015-07
2015-08,2015-08-31,sh.600028,4.95,14.824313,0.277302,1,-1.5905,0.0674567516214748,400922045642.0873,0.0704360995315147,0.0233868267524733,0.1880620250794113,0.0003097902215681,-0.1749999999999999,-0.1764999999999999,-0.0439242424242423,-0.1264383824008674,400922045642.0873,2015-08
2015-09,2015-09-30,sh.600028,4.74,14.195402,0.082636,1,0.4237,0.0704453456126145,387337119136.8214,0.1179172255538001,0.0785235600768355,0.302919919527116,0.0028048204569462,-0.0424242424242423,-0.0439242424242423,0.0596814345991561,-0.0492871706239515,387337119136.8214,2015-09
2015-10,2015-10-30,sh.600028,5.03,27.544809,0.197302,1,-0.789,0.036304481181917,347226898749.7571,0.0401721035691656,0.0373670400768194,-0.1649759974925469,-0.0002476475491999,0.0611814345991561,0.0596814345991561,-0.0253568588469184,0.106526091619412,347226898749.7571,2015-10
2015-11,2015-11-30,sh.600028,4.91,26.887676,0.167765,1,0.2041,0.0371917602696491,386965190840.0621,0.0253245110873428,0.0495452674060624,0.1011365922720702,0.0001268970606938,-0.0238568588469184,-0.0253568588469184,0.008683299389002,0.0170788223774825,386965190840.0621,2015-11
2015-12,2015-12-31,sh.600028,4.96,27.161482,0.101269,1,-0.2012,0.0368168423210486,373462852746.5602,-0.0061973791350332,0.0335939076221241,0.4516672196115457,-9.40344873962233e-05,0.010183299389002,0.008683299389002,-0.1184354838709677,0.0257179903378557,373462852746.5602,2015-12
2016-01,2016-01-29,sh.600028,4.38,23.985341,0.148587,1,1.3889,0.0416921318733805,367906301559.7089,0.1360498476452818,0.0290106685735349,0.4333322616595912,0.0017103178206715,-0.1169354838709677,-0.1184354838709677,-0.0083493150684931,-0.2279879285665444,367906301559.7089,2016-01
