year_month,date,code,close,peTTM,turn,tradestatus,pctChg
2019-08,2019-08-30,sh.600028,4.9800,11.413380,0.054200,1,-0.200400
2019-09,2019-09-30,sh.600028,5.0200,11.505054,0.051500,1,0.601200
2019-10,2019-10-31,sh.600028,4.9000,12.788293,0.079200,1,-1.209700
2019-11,2019-11-29,sh.600028,4.9900,13.023180,0.047900,1,-0.399200
2019-12,2019-12-31,sh.600028,5.1100,13.336363,0.093300,1,0.590600
2020-01,2020-01-23,sh.600028,4.9400,12.892688,0.115600,1,-0.803200
2020-02,2020-02-28,sh.600028,4.6000,12.005337,0.174700,1,-1.287600
2020-03,2020-03-31,sh.600028,4.4300,9.313008,0.168500,1,-0.894900
2020-04,2020-04-30,sh.600028,4.4600,23.430426,0.125200,1,0.450400
2020-05,2020-05-29,sh.600028,4.1400,21.749319,0.085000,1,-1.193300
2020-06,2020-06-30,sh.600028,3.9100,20.541024,0.070800,1,-0.255100
2020-07,2020-07-31,sh.600028,4.0000,21.013835,0.147100,1,0.250600
2020-08,2020-08-31,sh.600028,4.0300,144.739536,0.167500,1,0.000000
2020-09,2020-09-30,sh.600028,3.9100,140.429674,0.074300,1,0.514100
2020-10,2020-10-30,sh.600028,3.9000,12.485859,0.133000,1,0.257100
2020-11,2020-11-30,sh.600028,4.1900,13.414294,0.211300,1,-2.102800
2020-12,2020-12-31,sh.600028,4.0300,12.902054,0.089200,1,0.498800
2021-01,2021-01-29,sh.600028,3.9500,12.645934,0.119500,1,-0.753800
2021-02,2021-02-26,sh.600028,4.5100,14.438775,0.312600,1,-3.218900
2021-03,2021-03-31,sh.600028,4.3300,15.922681,0.097000,1,0.231500
2021-04,2021-04-30,sh.600028,4.2800,7.327377,0.117700,1,0.000000
2021-05,2021-05-31,sh.600028,4.4200,7.567058,0.125700,1,-1.118600
2021-06,2021-06-30,sh.600028,4.3600,7.464337,0.080900,1,0.229900
2021-07,2021-07-30,sh.600028,3.9900,6.830896,0.093900,1,0.251300
2021-08,2021-08-31,sh.600028,4.2600,5.424634,0.313800,1,1.913900
2021-09,2021-09-30,sh.600028,4.4600,5.679312,0.257800,1,0.000000
2021-10,2021-10-29,sh.600028,4.2500,7.422432,0.169300,1,1.190500
2021-11,2021-11-30,sh.600028,4.0400,7.055676,0.110100,1,-0.492600
2021-12,2021-12-31,sh.600028,4.2300,7.387502,0.073400,1,0.237000
2022-01,2022-01-28,sh.600028,4.1900,7.317644,0.182100,1,-0.945600
2022-02,2022-02-28,sh.600028,4.3300,7.562148,0.183600,1,0.697700
2022-03,2022-03-31,sh.600028,4.3200,7.345068,0.137300,1,0.000000
2022-04,2022-04-29,sh.600028,4.3400,6.945515,0.186000,1,0.463000
2022-05,2022-05-31,sh.600028,4.4600,7.137557,0.220500,1,1.363600
2022-06,2022-06-30,sh.600028,4.0800,6.529424,0.079800,1,-0.487800
2022-07,2022-07-29,sh.600028,4.1100,6.577435,0.111400,1,-0.242700
2022-08,2022-08-31,sh.600028,4.2700,6.864432,0.194300,1,-0.466200
2022-09,2022-09-30,sh.600028,4.2900,6.896583,0.097700,1,0.704200
2022-10,2022-10-31,sh.600028,4.0700,7.260401,0.332700,1,-4.906500
2022-11,2022-11-30,sh.600028,4.5300,8.080987,0.141300,1,0.890900
2022-12,2022-12-30,sh.600028,4.3600,7.705720,0.064800,1,0.460800
2023-01,2023-01-31,sh.600028,4.5200,7.988499,0.088500,1,0.000000
2023-02,2023-02-28,sh.600028,4.6600,8.235930,0.117800,1,1.084600
2023-03,2023-03-31,sh.600028,5.6200,10.162858,0.158600,1,0.357100
2023-04,2023-04-28,sh.600028,6.7100,12.648653,0.236000,1,1.820900
2023-05,2023-05-31,sh.600028,6.3600,11.988887,0.165300,1,-1.395300
2023-06,2023-06-30,sh.600028,6.3600,11.988887,0.073100,1,0.952400
2023-07,2023-07-31,sh.600028,6.2000,11.687280,0.166400,1,-0.958500
2023-08,2023-08-31,sh.600028,6.0700,12.658431,0.093400,1,-0.164500
2023-09,2023-09-28,sh.600028,6.0700,12.654980,0.138300,1,-1.461000
2023-10,2023-10-31,sh.600028,5.4600,10.551826,0.158200,1,1.298700
2023-11,2023-11-30,sh.600028,5.4700,10.571152,0.108400,1,1.296300
2023-12,2023-12-29,sh.600028,5.5800,10.737449,0.156500,1,2.011000
2024-01,2024-01-31,sh.600028,5.9600,11.468674,0.188700,1,0.505900
2024-02,2024-02-29,sh.600028,6.2500,12.026713,0.114200,1,0.969300
2024-03,2024-03-29,sh.600028,6.3900,12.865994,0.197700,1,2.733100
2024-04,2024-04-30,sh.600028,6.3500,13.174618,0.219000,1,1.437700
2024-05,2024-05-31,sh.600028,6.4500,13.382092,0.110600,1,-1.376100
2024-06,2024-06-28,sh.600028,6.3200,13.112375,0.203900,1,2.597400
2024-07,2024-07-31,sh.600028,6.4900,13.460672,0.223200,1,0.309100
2024-08,2024-08-30,sh.600028,6.8100,13.574249,0.190400,1,-0.873400
2024-09,2024-09-30,sh.600028,6.9600,13.873242,0.552500,1,4.504500
2024-10,2024-10-31,sh.600028,6.1800,14.535113,0.159900,1,-0.161600
2024-11,2024-11-29,sh.600028,6.3600,14.942470,0.134800,1,-0.625000
2024-12,2024-12-31,sh.600028,6.6800,15.657096,0.180200,1,-0.595200
2025-01,2025-01-27,sh.600028,6.0800,14.250770,0.138500,1,0.662300
2025-02,2025-02-28,sh.600028,5.7800,13.547607,0.189600,1,-1.027400
2025-03,2025-03-31,sh.600028,5.7300,13.812401,0.133600,1,-0.693200
2025-04,2025-04-30,sh.600028,5.6600,15.166559,0.089700,1,0.532900
2025-05,2025-05-30,sh.600028,5.7800,15.488111,0.128600,1,0.872600
2025-06,2025-06-30,sh.600028,5.6400,15.108441,0.103000,1,-0.353400
2025-07,2025-07-31,sh.600028,6.0100,16.099597,0.192300,1,0.000000
2025-08,2025-08-29,sh.600028,5.7100,19.181290,0.260100,1,-0.868100
2025-09,2025-09-30,sh.600028,5.2900,17.760496,0.087400,1,-0.376600
2025-10,2025-10-31,sh.600028,5.4700,18.386728,0.192300,1,-1.085000
2025-11,2025-11-28,sh.600028,5.7800,19.414429,0.106600,1,-0.516400
2025-12,2025-12-31,sh.600028,6.1800,20.730088,0.167300,1,0.324700
2015-01,2015-01-30,sh.600030,27.8600,27.174065,3.099630,1,-1.135600
2015-02,2015-02-27,sh.600030,29.5300,28.802949,3.177670,1,-1.336500
2015-03,2015-03-31,sh.600030,32.8200,31.892807,6.898076,1,-0.273500
2015-04,2015-04-30,sh.600030,34.3600,27.343554,4.580978,1,-3.428900
2015-05,2015-05-29,sh.600030,30.3700,24.168327,4.035578,1,-1.171500
2015-06,2015-06-30,sh.600030,26.9100,23.553074,4.818590,1,9.390200
2015-07,2015-07-31,sh.600030,20.7900,12.766227,1.935800,1,-0.431000
2015-08,2015-08-31,sh.600030,15.0700,9.254167,5.807048,1,-4.981100
2015-09,2015-09-30,sh.600030,13.5800,8.339189,1.777788,1,1.799100
2015-10,2015-10-30,sh.600030,15.8700,9.175124,3.752629,1,3.793300
2015-11,2015-11-30,sh.600030,17.6300,10.192655,2.783297,1,-1.508400
2015-12,2015-12-31,sh.600030,19.3500,11.187060,1.251248,1,-1.776700
2016-01,2016-01-29,sh.600030,14.5000,8.862304,2.157480,1,5.839400
2016-02,2016-02-29,sh.600030,14.2800,8.727841,2.304379,1,-0.764400
2016-03,2016-03-31,sh.600030,17.8000,10.893092,1.899895,1,0.678700
2016-04,2016-04-29,sh.600030,16.4400,10.060811,0.663322,1,-0.424000
2016-05,2016-05-31,sh.600030,16.7900,11.543472,2.235559,1,7.147400
2016-06,2016-06-30,sh.600030,16.2300,11.158461,0.988097,1,0.433200
2016-07,2016-07-29,sh.600030,16.2200,15.538281,0.424600,1,-0.551800
2016-08,2016-08-31,sh.600030,16.9000,16.288692,0.624350,1,0.415900
2016-09,2016-09-30,sh.600030,16.1200,15.536907,0.578952,1,-0.185751
2016-10,2016-10-31,sh.600030,16.6100,17.121699,0.636116,1,-1.189761
2016-11,2016-11-30,sh.600030,17.7500,18.296818,2.616855,1,-1.169260
2016-12,2016-12-30,sh.600030,16.0600,16.554755,0.460265,1,0.879393
2017-01,2017-01-26,sh.600030,16.4800,16.987694,0.477076,1,0.549116
2017-02,2017-02-28,sh.600030,16.5500,17.059850,0.339540,1,0.060449
2017-03,2017-03-31,sh.600030,16.1100,18.832631,0.393803,1,0.248917
2017-04,2017-04-28,sh.600030,16.2300,18.972911,0.385953,1,0.000000
2017-05,2017-05-31,sh.600030,16.4400,18.068795,0.814372,1,0.305071
2017-06,2017-06-30,sh.600030,17.0200,18.706258,0.765275,1,-0.409594
2017-07,2017-07-31,sh.600030,17.3500,20.918167,0.876162,1,0.405091
2017-08,2017-08-31,sh.600030,18.2300,21.980220,1.242672,1,1.165367
2017-09,2017-09-29,sh.600030,18.1900,21.931991,0.864787,1,0.887409
2017-10,2017-10-31,sh.600030,17.3200,20.274353,0.528991,1,-0.858613
2017-11,2017-11-30,sh.600030,19.1900,22.463328,2.686372,1,0.104332
2017-12,2017-12-29,sh.600030,18.1000,21.187401,0.655674,1,-0.110378
2018-01,2018-01-31,sh.600030,21.2900,22.508418,2.519225,1,-1.571883
2018-02,2018-02-28,sh.600030,18.1100,19.146428,1.615673,1,-0.767120
2018-03,2018-03-30,sh.600030,18.5800,19.690978,1.327274,1,1.474607
2018-04,2018-04-27,sh.600030,18.9900,20.125493,0.921692,1,1.334045
2018-05,2018-05-31,sh.600030,18.6400,19.104625,0.888596,1,2.869749
2018-06,2018-06-29,sh.600030,16.5700,16.983028,0.778777,1,2.537128
2018-07,2018-07-31,sh.600030,16.8600,16.893674,0.546461,1,-0.648195
2018-08,2018-08-31,sh.600030,15.9800,16.039569,0.457255,1,0.250941
2018-09,2018-09-28,sh.600030,16.6900,16.752216,0.742421,1,0.967936
2018-10,2018-10-31,sh.600030,17.1600,19.215366,1.479872,1,-0.809245
2018-11,2018-11-30,sh.600030,16.8700,18.890631,0.764362,1,1.443185
2018-12,2018-12-28,sh.600030,16.0100,17.927623,,0,0.000000
2019-01,2019-01-31,sh.600030,18.2600,23.552773,0.942540,1,1.783722
2019-02,2019-02-28,sh.600030,23.5100,30.324517,3.041286,1,-2.245318
2019-03,2019-03-29,sh.600030,24.7800,31.976604,4.313593,1,8.541396
2019-04,2019-04-30,sh.600030,23.0400,25.477277,1.086890,1,0.086883
2019-05,2019-05-31,sh.600030,20.1300,22.259444,0.584488,1,-0.395843
2019-06,2019-06-28,sh.600030,23.8100,26.328731,1.306594,1,-0.459869
2019-07,2019-07-31,sh.600030,23.2300,27.405588,0.645600,1,-0.768900
2019-08,2019-08-30,sh.600030,22.3200,26.332986,0.857300,1,0.314600
2019-09,2019-09-30,sh.600030,22.4800,26.521753,0.732200,1,-2.472900
2019-10,2019-10-31,sh.600030,21.7000,20.872117,0.757400,1,-0.777300
2019-11,2019-11-29,sh.600030,21.4100,20.593181,0.502600,1,-0.464900
2019-12,2019-12-31,sh.600030,25.3000,24.334772,3.433400,1,-1.403000
2020-01,2020-01-23,sh.600030,23.9000,23.567229,2.498800,1,-5.158700
2020-02,2020-02-28,sh.600030,23.4000,23.074191,2.969400,1,-5.530900
2020-03,2020-03-31,sh.600030,22.1600,23.425178,0.650400,1,-0.493900
2020-04,2020-04-30,sh.600030,23.7000,25.431750,1.364900,1,1.325400
2020-05,2020-05-29,sh.600030,22.2700,23.897260,0.474400,1,-0.934200
2020-06,2020-06-30,sh.600030,24.1100,25.871708,1.630000,1,2.595700
2020-07,2020-07-31,sh.600030,29.9600,26.329902,2.298700,1,1.353200
2020-08,2020-08-31,sh.600030,31.8000,27.947192,2.230400,1,-0.593900
2020-09,2020-09-30,sh.600030,30.0300,26.391640,0.757300,1,-0.760100
2020-10,2020-10-30,sh.600030,28.6300,25.759604,1.053400,1,-3.342300
2020-11,2020-11-30,sh.600030,30.3000,27.262173,3.054500,1,1.067400
2020-12,2020-12-31,sh.600030,29.4000,26.452405,2.206800,1,3.157900
2021-01,2021-01-29,sh.600030,28.3500,24.600530,1.252900,1,-0.526300
2021-02,2021-02-26,sh.600030,27.2500,23.646012,1.118500,1,-1.731000
2021-03,2021-03-31,sh.600030,23.8900,20.722988,0.557700,1,-1.525100
2021-04,2021-04-30,sh.600030,23.8500,19.279105,1.089600,1,0.252200
2021-05,2021-05-31,sh.600030,26.1100,21.105972,0.941500,1,-0.267400
2021-06,2021-06-30,sh.600030,24.9400,20.160205,0.760900,1,0.564500
2021-07,2021-07-30,sh.600030,22.5900,16.067387,0.913800,1,-1.867900
2021-08,2021-08-31,sh.600030,25.6800,18.265200,3.120700,1,5.505300
2021-09,2021-09-30,sh.600030,25.2800,17.980695,0.850000,1,-1.288600
2021-10,2021-10-29,sh.600030,25.8800,16.822584,1.672800,1,4.565700
2021-11,2021-11-30,sh.600030,23.7700,15.451037,0.630500,1,-0.126100
2021-12,2021-12-31,sh.600030,26.4100,17.167096,0.683200,1,0.151700
2022-01,2022-01-28,sh.600030,24.6000,15.500171,1.582500,1,1.863400
2022-02,2022-02-28,sh.600030,23.3300,14.699959,0.540600,1,0.042900
2022-03,2022-03-31,sh.600030,20.9000,13.409284,0.605400,1,-0.806800
2022-04,2022-04-29,sh.600030,19.6900,12.597904,1.382400,1,4.901400
2022-05,2022-05-31,sh.600030,19.7900,12.661886,0.651400,1,1.487200
2022-06,2022-06-30,sh.600030,21.6600,13.858335,0.924500,1,1.167700
2022-07,2022-07-29,sh.600030,19.6000,12.540321,0.512400,1,-1.358800
2022-08,2022-08-31,sh.600030,19.5200,13.091569,0.782300,1,1.402600
2022-09,2022-09-30,sh.600030,17.4200,11.683152,0.362800,1,0.114900
2022-10,2022-10-31,sh.600030,17.2100,11.582114,0.544000,1,-0.058100
2022-11,2022-11-30,sh.600030,19.8200,13.338611,0.928700,1,0.405300
2022-12,2022-12-30,sh.600030,19.9100,13.399180,0.394800,1,0.657200
2023-01,2023-01-31,sh.600030,21.4100,15.023337,0.729400,1,-0.925500
2023-02,2023-02-28,sh.600030,20.6500,14.490047,0.368100,1,1.027400
2023-03,2023-03-31,sh.600030,20.4800,14.238344,0.343300,1,0.000000
2023-04,2023-04-28,sh.600030,21.0200,14.485905,1.115800,1,-0.047600
2023-05,2023-05-31,sh.600030,20.0500,13.817431,0.864300,1,-1.522600
2023-06,2023-06-30,sh.600030,19.7800,13.631360,0.456000,1,1.749000
2023-07,2023-07-31,sh.600030,24.1000,16.608483,3.928200,1,1.816600
2023-08,2023-08-31,sh.600030,22.2000,15.355308,1.070200,1,-1.595700
2023-09,2023-09-28,sh.600030,21.6600,14.981801,0.751700,1,-1.679500
2023-10,2023-10-31,sh.600030,21.7100,15.203022,0.591900,1,0.509300
2023-11,2023-11-30,sh.600030,21.4500,15.020950,0.420000,1,0.233600
2023-12,2023-12-29,sh.600030,20.3700,14.264650,0.566900,1,0.000000
2024-01,2024-01-31,sh.600030,20.5000,15.433364,0.697800,1,0.293500
2024-02,2024-02-29,sh.600030,21.3000,16.035642,0.848000,1,1.428600
2024-03,2024-03-29,sh.600030,19.2000,14.429341,0.763000,1,-0.569700
2024-04,2024-04-30,sh.600030,19.0100,14.626741,0.899500,1,-1.909200
2024-05,2024-05-31,sh.600030,18.6200,14.326666,0.457100,1,0.323300
2024-06,2024-06-28,sh.600030,18.2300,14.026591,0.622300,1,-0.923900
2024-07,2024-07-31,sh.600030,19.8000,15.234585,1.982300,1,4.651200
2024-08,2024-08-30,sh.600030,19.2900,15.059008,1.250700,1,2.661000
2024-09,2024-09-30,sh.600030,27.2000,21.234060,3.243300,1,9.987900
2024-10,2024-10-31,sh.600030,28.1200,20.728384,3.363200,1,2.403500
2024-11,2024-11-29,sh.600030,30.7500,22.667063,2.408700,1,2.946100
2024-12,2024-12-31,sh.600030,29.1700,21.502381,1.626700,1,-4.392000
2025-01,2025-01-27,sh.600030,26.9300,18.389114,0.727800,1,-2.215000
2025-02,2025-02-28,sh.600030,27.3300,18.662253,1.309900,1,-3.222400
2025-03,2025-03-31,sh.600030,26.5200,18.109399,0.655200,1,-1.044800
2025-04,2025-04-30,sh.600030,25.0800,15.959446,0.422500,1,0.279900
2025-05,2025-05-30,sh.600030,25.5200,16.239436,0.451500,1,-0.700400
2025-06,2025-06-30,sh.600030,27.6200,17.575753,0.795500,1,0.145000
2025-07,2025-07-31,sh.600030,29.0200,18.466631,1.160800,1,-2.552000
2025-08,2025-08-29,sh.600030,31.4800,18.772406,2.042300,1,-0.063500
2025-09,2025-09-30,sh.600030,29.9000,17.830208,2.423000,1,-1.677100
2025-10,2025-10-31,sh.600030,29.3800,15.515664,1.372700,1,-1.010800
2025-11,2025-11-28,sh.600030,27.5900,14.570360,0.613100,1,0.036300
2025-12,2025-12-31,sh.600030,28.7100,15.161835,0.703300,1,-0.416200
