date,close,mkt_return,mkt_excess,year_month
2015-01-30,3210.363,,,2015-01
2015-02-27,3310.303,0.031130436028573794,0.029630436028573792,2015-02
2015-03-31,3747.899,0.13219212863595864,0.13069212863595864,2015-03
2015-04-30,4441.655,0.18510530833408256,0.18360530833408256,2015-04
2015-05-29,4611.744,0.03829405930897378,0.03679405930897378,2015-05
2015-06-30,4277.222,-0.07253698383951923,-0.07403698383951923,2015-06
2015-07-31,3663.726,-0.1434332845010149,-0.1449332845010149,2015-07
2015-08-31,3205.986,-0.12493838240086741,-0.1264383824008674,2015-08
2015-09-30,3052.781,-0.04778717062395155,-0.04928717062395155,2015-09
2015-10-30,3382.561,0.10802609161941201,0.10652609161941201,2015-10
2015-11-30,3445.405,0.01857882237748254,0.01707882237748254,2015-11
2015-12-31,3539.182,0.02721799033785577,0.025717990337855767,2015-12
2016-01-29,2737.6,-0.22648792856654443,-0.22798792856654443,2016-01
2016-02-29,2687.979,-0.018125730566920017,-0.01962573056692002,2016-02
2016-03-31,3003.915,0.11753663254065616,0.11603663254065616,2016-03
2016-04-29,2938.324,-0.021835171767510042,-0.023335171767510043,2016-04
2016-05-31,2916.616,-0.007387885066452826,-0.008887885066452826,2016-05
2016-06-30,2929.606,0.004453791654438044,0.002953791654438044,2016-06
2016-07-29,2979.338,0.016975661573604084,0.015475661573604084,2016-07
2016-08-31,3085.491,0.0356297271407271,0.034129727140727095,2016-08
2016-09-30,3004.703,-0.026183190941085233,-0.027683190941085234,2016-09
2016-10-31,3100.492,0.031879689939405154,0.030379689939405152,2016-10
2016-11-30,3250.034,0.04823170000116117,0.04673170000116117,2016-11
2016-12-30,3103.637,-0.04504475953174647,-0.04654475953174647,2016-12
2017-01-26,3159.166,0.017891589770324234,0.016391589770324233,2017-01
2017-02-28,3241.733,0.026135695306925832,0.02463569530692583,2017-02
2017-03-31,3222.514,-0.005928619044196393,-0.007428619044196392,2017-03
2017-04-28,3154.658,-0.02105685188644646,-0.02255685188644646,2017-04
2017-05-31,3117.177,-0.01188116112745019,-0.01338116112745019,2017-05
2017-06-30,3192.426,0.02414011138924721,0.02264011138924721,2017-06
2017-07-31,3273.028,0.025247883584458952,0.02374788358445895,2017-07
2017-08-31,3360.81,0.02681981333493022,0.02531981333493022,2017-08
2017-09-29,3348.943,-0.0035309940163233966,-0.005030994016323396,2017-09
2017-10-31,3393.341,0.013257317308774663,0.011757317308774664,2017-10
2017-11-30,3317.188,-0.022441894286486352,-0.023941894286486354,2017-11
2017-12-29,3307.172,-0.00301942488637974,-0.00451942488637974,2017-12
2018-01-31,3480.833,0.052510422802321655,0.05101042280232165,2018-01
2018-02-28,3259.408,-0.0636126467428918,-0.0651126467428918,2018-02
2018-03-30,3168.896,-0.0277694599755538,-0.029269459975553802,2018-03
2018-04-27,3082.231,-0.027348641293371556,-0.028848641293371557,2018-04
2018-05-31,3095.473,0.004296238666082974,0.0027962386660829743,2018-05
2018-06-29,2847.418,-0.0801347645416387,-0.0816347645416387,2018-06
2018-07-31,2876.4,0.010178344029573516,0.008678344029573517,2018-07
2018-08-31,2725.249,-0.05254867195105006,-0.054048671951050065,2018-08
2018-09-28,2821.35,0.03526319980302728,0.03376319980302728,2018-09
2018-10-31,2602.783,-0.07746894217307321,-0.07896894217307321,2018-10
2018-11-30,2588.187,-0.0056078436043266455,-0.007107843604326645,2018-11
2018-12-28,2493.896,-0.03643129341117923,-0.037931293411179234,2018-12
2019-01-31,2584.572,0.03635917456060711,0.03485917456060711,2019-01
2019-02-28,2940.953,0.13788782049793924,0.13638782049793924,2019-02
2019-03-29,3090.758,0.05093757023658663,0.049437570236586625,2019-03
2019-04-30,3078.338,-0.004018431724515326,-0.005518431724515325,2019-04
2019-05-31,2898.696,-0.0583568146187976,-0.059856814618797605,2019-05
2019-06-28,2978.878,0.02766140361045122,0.026161403610451217,2019-06
2019-07-31,2932.505,-0.015567270630082897,-0.017067270630082898,2019-07
2019-08-30,2886.236,-0.015777978213165955,-0.017277978213165957,2019-08
2019-09-30,2905.189,0.006566684082659924,0.005066684082659924,2019-09
2019-10-31,2929.056,0.008215300278226367,0.006715300278226368,2019-10
2019-11-29,2871.981,-0.01948580020320534,-0.02098580020320534,2019-11
2019-12-31,3050.124,0.06202791731560886,0.06052791731560886,2019-12
2020-01-23,2976.528,-0.024128855089170176,-0.025628855089170177,2020-01
2020-02-28,2880.303,-0.03232793375368881,-0.03382793375368881,2020-02
2020-03-31,2750.2962,-0.04513650126392943,-0.04663650126392943,2020-03
2020-04-30,2860.0822,0.03991788229936821,0.03841788229936821,2020-04
2020-05-29,2852.3512,-0.0027030691635365756,-0.004203069163536575,2020-05
2020-06-30,2984.6741,0.046390816109881605,0.044890816109881604,2020-06
2020-07-31,3310.0065,0.10900097936990827,0.10750097936990827,2020-07
2020-08-31,3395.6775,0.02588242651487227,0.02438242651487227,2020-08
2020-09-30,3218.0521,-0.05230926670745384,-0.05380926670745384,2020-09
2020-10-30,3224.5325,0.0020137647864681973,0.0005137647864681973,2020-10
2020-11-30,3391.7551,0.05185948660774864,0.05035948660774864,2020-11
2020-12-31,3473.0693,0.023974077609553834,0.022474077609553833,2020-12
2021-01-29,3483.0692,0.002879268778195554,0.001379268778195554,2021-01
2021-02-26,3509.0804,0.007467896417332032,0.005967896417332032,2021-02
2021-03-31,3441.9115,-0.019141453698239497,-0.020641453698239498,2021-03
2021-04-30,3446.8564,0.0014366726163643762,-6.332738363562388e-05,2021-04
2021-05-31,3615.4773,0.048920198706276175,0.04742019870627617,2021-05
2021-06-30,3591.197,-0.006715655495887041,-0.00821565549588704,2021-06
2021-07-30,3397.3574,-0.053976320430207614,-0.055476320430207615,2021-07
2021-08-31,3543.9402,0.04314612292483577,0.04164612292483577,2021-08
2021-09-30,3568.1668,0.0068360634301898315,0.005336063430189832,2021-09
2021-10-29,3547.3361,-0.005837927756067951,-0.007337927756067951,2021-10
2021-11-30,3563.8872,0.0046657828673184465,0.0031657828673184465,2021-11
2021-12-31,3639.7754,0.02129365935038563,0.01979365935038563,2021-12
2022-01-28,3361.4397,-0.07647057013462977,-0.07797057013462977,2022-01
2022-02-28,3462.3064,0.030006993729502218,0.028506993729502217,2022-02
2022-03-31,3252.2029,-0.06068310418742828,-0.062183104187428284,2022-03
2022-04-29,3047.0624,-0.06307739901468035,-0.06457739901468035,2022-04
2022-05-31,3186.4271,0.04573739612290195,0.04423739612290195,2022-05
2022-06-30,3398.6161,0.06659151248117379,0.06509151248117379,2022-06
2022-07-29,3253.2382,-0.04277561681650377,-0.04427561681650377,2022-07
2022-08-31,3202.1378,-0.015707549481006278,-0.01720754948100628,2022-08
2022-09-30,3024.3905,-0.05550894780355797,-0.057008947803557974,2022-09
2022-10-31,2893.4829,-0.04328396085095498,-0.044783960850954985,2022-10
2022-11-30,3151.3353,0.08911488642286436,0.08761488642286436,2022-11
2022-12-30,3089.2579,-0.019698760712641428,-0.02119876071264143,2022-12
2023-01-31,3255.6692,0.053867726614861056,0.052367726614861054,2023-01
2023-02-28,3279.6053,0.007352129018513454,0.005852129018513454,2023-02
2023-03-31,3272.8602,-0.002056680418219825,-0.003556680418219825,2023-03
2023-04-28,3323.2746,0.015403774350031929,0.01390377435003193,2023-04
2023-05-31,3204.5644,-0.03572085195728336,-0.03722085195728336,2023-05
2023-06-30,3202.0623,-0.0007807925470307842,-0.002280792547030784,2023-06
2023-07-31,3291.0398,0.027787560535596167,0.026287560535596166,2023-07
2023-08-31,3119.8764,-0.05200891219850934,-0.05350891219850934,2023-08
2023-09-28,3110.4753,-0.003013292449662419,-0.004513292449662419,2023-09
2023-10-31,3018.7706,-0.029482535996990578,-0.03098253599699058,2023-10
2023-11-30,3029.6727,0.0036114370532163154,0.0021114370532163153,2023-11
2023-12-29,2974.9348,-0.01806726515375734,-0.01956726515375734,2023-12
2024-01-31,2788.5482,-0.06265233106957502,-0.06415233106957502,2024-01
2024-02-29,3015.1712,0.08126917081799045,0.07976917081799045,2024-02
2024-03-29,3041.1669,0.00862163315966935,0.007121633159669351,2024-03
2024-04-30,3104.8245,0.0209319652926645,0.0194319652926645,2024-04
2024-05-31,3086.8134,-0.005801004211349214,-0.007301004211349214,2024-05
2024-06-28,2967.4028,-0.038684100567919044,-0.040184100567919045,2024-06
2024-07-31,2938.7493,-0.009656087134513713,-0.011156087134513713,2024-07
2024-08-30,2842.2142,-0.03284904227795138,-0.03434904227795138,2024-08
2024-09-30,3336.4974,0.17390779343794716,0.17240779343794715,2024-09
2024-10-31,3279.8244,-0.016985776760983007,-0.018485776760983008,2024-10
2024-11-29,3326.4557,0.014217620918973495,0.012717620918973495,2024-11
2024-12-31,3351.763,0.007607887277741199,0.006107887277741199,2024-12
2025-01-27,3250.6007,-0.03018181774785389,-0.03168181774785389,2025-01
2025-02-28,3320.8973,0.02162572597735557,0.02012572597735557,2025-02
2025-03-31,3335.7462,0.004471351763874143,0.002971351763874143,2025-03
2025-04-30,3279.0314,-0.017002132836125283,-0.018502132836125285,2025-04
2025-05-30,3347.4873,0.020876866259957216,0.019376866259957215,2025-05
2025-06-30,3444.4256,0.02895852659396203,0.02745852659396203,2025-06
2025-07-31,3573.2082,0.03738870132657235,0.03588870132657235,2025-07
2025-08-29,3857.9274,0.07968167094209622,0.07818167094209622,2025-08
2025-09-30,3882.7774,0.006441282435745155,0.004941282435745155,2025-09
