trade_date,stock_code,monthly_ret,mkt_ret,excess_ret
2015-02-27,sh.600000,0.004146510020732519,0.03113044,0.002646510020732519
2015-02-27,sh.600009,0.03482099068170652,0.03113044,0.03332099068170652
2015-02-27,sh.600010,0.028000000000000025,0.03113044,0.026500000000000024
2015-02-27,sh.600015,-0.010699588477366184,0.03113044,-0.012199588477366184
2015-02-27,sh.600016,-0.025343189017951517,0.03113044,-0.02684318901795152
2015-02-27,sh.600018,0.033950617283950546,0.03113044,0.032450617283950545
2015-02-27,sh.600019,0.12457912457912457,0.03113044,0.12307912457912457
2015-02-27,sh.600028,0.04809286898839127,0.03113044,0.04659286898839127
2015-02-27,sh.600029,0.04008016032064132,0.03113044,0.03858016032064132
2015-02-27,sh.600030,0.059942569992821326,0.03113044,0.058442569992821325
2015-02-27,sh.600031,0.04668304668304657,0.03113044,0.04518304668304657
2015-02-27,sh.600036,0.025104602510460206,0.03113044,0.023604602510460204
2015-02-27,sh.600048,-0.027671755725190872,0.03113044,-0.029171755725190873
2015-02-27,sh.600050,0.24999999999999978,0.03113044,0.24849999999999978
2015-02-27,sh.600089,-0.007328990228013033,0.03113044,-0.008828990228013032
2015-02-27,sh.600100,0.13213213213213204,0.03113044,0.13063213213213204
2015-02-27,sh.600104,0.07549668874172188,0.03113044,0.07399668874172188
2015-02-27,sh.600109,0.2681159420289856,0.03113044,0.2666159420289856
2015-02-27,sh.600111,-0.025047438330170868,0.03113044,-0.02654743833017087
2015-02-27,sh.600150,0.01633896427582382,0.03113044,0.01483896427582382
2015-02-27,sh.600196,0.012516763522574692,0.03113044,0.011016763522574692
2015-02-27,sh.600256,0.014234875444840034,0.03113044,0.012734875444840034
2015-02-27,sh.600276,-0.008597396217145614,0.03113044,-0.010097396217145614
2015-02-27,sh.600309,0.007366482504604033,0.03113044,0.005866482504604033
2015-02-27,sh.600332,0.04173622704507518,0.03113044,0.04023622704507518
2015-02-27,sh.600340,0.025466893039049143,0.03113044,0.023966893039049142
2015-02-27,sh.600346,0.024498886414253906,0.03113044,0.022998886414253905
2015-02-27,sh.600372,0.03350144092219032,0.03113044,0.032001440922190316
2015-02-27,sh.600406,0.017467248908296984,0.03113044,0.015967248908296983
