trade_date,stock_code,smb,pe_recip,quality
2015-01-30,sh.600000,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600009,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600010,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600015,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600016,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600018,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600019,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600028,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600029,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600030,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600031,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600036,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600048,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600050,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600089,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600100,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600104,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600109,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600111,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600150,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600196,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600256,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600276,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600309,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600332,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600340,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600346,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600372,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600406,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600436,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600438,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600485,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600518,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600519,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600547,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600570,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600585,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600588,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600606,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600637,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600690,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600703,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600745,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600795,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600809,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600837,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600887,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600893,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600900,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.600999,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601006,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601012,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601088,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601111,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601118,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601166,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601169,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601186,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601225,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601288,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601318,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601328,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601336,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601360,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601377,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601390,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601398,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601601,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601628,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601633,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601668,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601669,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601688,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601766,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601788,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601800,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601818,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601857,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601888,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601899,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601901,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601919,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601939,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601988,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601989,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.601998,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.603288,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.603799,25.38072751664211,0.07574063022441883,4.947978208640721e-05
2015-01-30,sh.603993,25.38072751664211,0.07574063022441883,4.947978208640721e-05
