trade_date,mkt_close,mkt_ret
2015-01-30,3210.363,-0.00751667
2015-02-27,3310.303,0.03113044
2015-03-31,3747.899,0.13219213
2015-04-30,4441.655,0.18510531
2015-05-29,4611.744,0.03829406
2015-06-30,4277.222,-0.07253698
2015-07-31,3663.726,-0.14343328
2015-08-31,3205.986,-0.12493838
2015-09-30,3052.781,-0.047787170000000004
2015-10-30,3382.561,0.10802609
2015-11-30,3445.405,0.01857882
2015-12-31,3539.182,0.027217989999999997
2016-01-29,2737.6,-0.22648793
2016-02-29,2687.979,-0.01812573
2016-03-31,3003.915,0.11753662999999999
2016-04-29,2938.324,-0.02183517
2016-05-31,2916.616,-0.00738789
2016-06-30,2929.606,0.00445379
2016-07-29,2979.338,0.01697566
2016-08-31,3085.491,0.03562973
2016-09-30,3004.703,-0.026183190000000002
2016-10-31,3100.492,0.031879689999999995
2016-11-30,3250.034,0.0482317
2016-12-30,3103.637,-0.04504476
2017-01-26,3159.166,0.01789159
2017-02-28,3241.733,0.0261357
2017-03-31,3222.514,-0.00592862
2017-04-28,3154.658,-0.02105685
2017-05-31,3117.177,-0.01188116
2017-06-30,3192.426,0.02414011
2017-07-31,3273.028,0.02524788
2017-08-31,3360.81,0.02681981
2017-09-29,3348.943,-0.00353099
2017-10-31,3393.341,0.01325732
2017-11-30,3317.188,-0.02244189
2017-12-29,3307.172,-0.00301942
2018-01-31,3480.833,0.05251042
2018-02-28,3259.408,-0.063613
2018-03-30,3168.896,-0.027769460000000003
2018-04-27,3082.231,-0.02734864
2018-05-31,3095.473,0.00429624
2018-06-29,2847.418,-0.08013476000000001
2018-07-31,2876.4,0.01017834
2018-08-31,2725.249,-0.05254867
2018-09-28,2821.35,0.0352632
2018-10-31,2602.783,-0.07746894
2018-11-30,2588.187,-0.005607839999999999
2018-12-28,2493.896,-0.03643129
2019-01-31,2584.572,0.03635917
2019-02-28,2940.953,0.13788782
2019-03-29,3090.758,0.05093757
2019-04-30,3078.338,-0.00401843
2019-05-31,2898.696,-0.05835681
2019-06-28,2978.878,0.0276614
2019-07-31,2932.505,-0.01556727
2019-08-30,2886.236,-0.01577798
2019-09-30,2905.189,0.00656668
2019-10-31,2929.056,0.0082153
2019-11-29,2871.981,-0.019486
2019-12-31,3050.124,0.062028
2020-01-23,2976.528,-0.024129
2020-02-28,2880.303,-0.032328
2020-03-31,2750.2962,-0.045137000000000004
2020-04-30,2860.0822,0.039918
2020-05-29,2852.3512,-0.0027029999999999997
2020-06-30,2984.6741,0.046391
2020-07-31,3310.0065,0.109001
2020-08-31,3395.6775,0.025882000000000002
2020-09-30,3218.0521,-0.052309
2020-10-30,3224.5325,0.002014
2020-11-30,3391.7551,0.051859
2020-12-31,3473.0693,0.023974000000000002
2021-01-29,3483.0692,0.002879
2021-02-26,3509.0804,0.007468
2021-03-31,3441.9115,-0.019141
2021-04-30,3446.8564,0.001437
2021-05-31,3615.4773,0.048920000000000005
2021-06-30,3591.197,-0.006716
2021-07-30,3397.3574,-0.053975999999999996
2021-08-31,3543.9402,0.043146000000000004
2021-09-30,3568.1668,0.006836
2021-10-29,3547.3361,-0.0058379999999999994
2021-11-30,3563.8872,0.004666
2021-12-31,3639.7754,0.021294
2022-01-28,3361.4397,-0.076471
2022-02-28,3462.3064,0.030007000000000002
2022-03-31,3252.2029,-0.060683
2022-04-29,3047.0624,-0.063077
2022-05-31,3186.4271,0.045737
2022-06-30,3398.6161,0.066592
2022-07-29,3253.2382,-0.042775999999999995
2022-08-31,3202.1378,-0.015708
2022-09-30,3024.3905,-0.055509
2022-10-31,2893.4829,-0.043284
2022-11-30,3151.3353,0.089115
2022-12-30,3089.2579,-0.019699
2023-01-31,3255.6692,0.053868
2023-02-28,3279.6053,0.007352
2023-03-31,3272.8602,-0.002057
2023-04-28,3323.2746,0.015404
2023-05-31,3204.5644,-0.035720999999999996
2023-06-30,3202.0623,-0.000781
2023-07-31,3291.0398,0.027788
2023-08-31,3119.8764,-0.052009
2023-09-28,3110.4753,-0.003013
2023-10-31,3018.7706,-0.029483000000000002
2023-11-30,3029.6727,0.0036109999999999996
2023-12-29,2974.9348,-0.018067
2024-01-31,2788.5482,-0.062652
2024-02-29,3015.1712,0.081269
2024-03-29,3041.1669,0.008622
2024-04-30,3104.8245,0.020932
2024-05-31,3086.8134,-0.005801
2024-06-28,2967.4028,-0.038683999999999996
2024-07-31,2938.7493,-0.009656
2024-08-30,2842.2142,-0.032848999999999996
2024-09-30,3336.4974,0.17390799999999998
2024-10-31,3279.8244,-0.016986
2024-11-29,3326.4557,0.014218
2024-12-31,3351.763,0.007608
2025-01-27,3250.6007,-0.030182
2025-02-28,3320.8973,0.021626
2025-03-31,3335.7462,0.004471
2025-04-30,3279.0314,-0.017002
2025-05-30,3347.4873,0.020877
2025-06-30,3444.4256,0.028959000000000002
2025-07-31,3573.2082,0.037389
2025-08-29,3857.9274,0.079682
2025-09-30,3882.7774,0.006441
2025-10-31,3954.79,0.018547
2025-11-28,3888.5962,-0.016738
2025-12-31,3968.8401,0.020636
