trade_date,open,high,low,close,volume,amount,pct_chg,turnover_rate,stock_code
2015-01-30,7.48422812,7.89425825,6.74900168,6.81969653,7441456604.0,115360850710.0,-7.775653,49.866433,sh.600000
2015-01-30,18.13304052,19.79813304,16.1934822,18.65452554,393277970.0,7894132718.0,3.924567,35.96584,sh.600009
2015-01-30,2.88592854,3.69737544,2.70952704,3.52803,9405309423.0,42754284870.0,22.54902,59.746506,sh.600010
2015-01-30,5.88227376,6.01241256,5.17084832,5.2706214,3054109080.0,39333690760.0,-9.732541,47.07547,sh.600015
2015-01-30,5.42824973,5.47319384,4.56568732,4.76179063,10991105968.0,110922224600.0,-12.358095,40.379494,sh.600016
2015-01-30,4.7711365,5.17484805,4.19860012,4.75645608,1959570103.0,12731465070.0,0.934579,8.611534,sh.600018
2015-01-30,4.138029,4.4336025,3.41091819,3.51141318,2723959987.0,17562166986.0,-15.263909,16.584959,sh.600019
2015-01-30,3.46386216,3.89487384,3.16425648,3.16951272,10639332605.0,71168233010.0,-7.087827,11.468882,sh.600028
2015-01-30,4.9423675,5.69612625,4.64658875,4.76108375,2718700275.0,14737273726.0,-3.294574,38.71331,sh.600029
2015-01-30,25.2694329,27.76655975,19.87265726,20.76715046,12230890172.0,383492456950.0,-17.817109,124.618561,sh.600030
2015-01-30,8.3817407,8.52494632,6.739088,6.85702204,2716152200.0,24318028150.0,-18.436874,35.768466,sh.600031
2015-01-30,10.59328296,11.0026852,9.05162765,9.17316894,5823325807.0,90544800710.0,-13.562387,28.228908,sh.600036
2015-01-30,7.72503345,7.8908067,6.60440628,6.94921464,6227749676.0,67786030630.0,-3.142329,58.041917,sh.600048
2015-01-30,4.08276554,4.4360028,3.696669,3.71309864,7027860964.0,34702887820.0,-8.686869,33.155611,sh.600050
2015-01-30,7.13546636,7.9219176,7.03787752,7.04935856,2271636438.0,29648472180.0,-0.807754,71.752965,sh.600089
2015-01-30,11.26706749,14.34165648,11.00683582,12.83809572,2118692251.0,27941725010.0,14.041096,102.342323,sh.600100
2015-01-30,13.7388125,16.4485875,13.73248125,14.34028125,1232530843.0,29614966860.0,5.496041,11.178844,sh.600104
2015-01-30,18.48324,18.6218643,14.4631353,15.30412272,2090531460.0,37753718270.0,-16.321374,73.691757,sh.600109
2015-01-30,16.56817541,18.4161888,15.1549887,16.84953385,1467829143.0,39129154170.0,1.816074,99.213184,sh.600111
2015-01-30,35.8432018,38.65596532,32.229582,35.26697594,590174710.0,21866609040.0,-2.034726,42.824699,sh.600150
2015-01-30,18.56675255,20.93941594,18.3462448,19.73103347,715428115.0,15931435132.0,6.018957,37.567264,sh.600196
2015-01-30,5.039199,5.4852525,4.773978,5.08139325,2759366785.0,23744403750.0,0.837321,90.588276,sh.600256
2015-01-30,8.6402644,9.91279,8.52961,9.3848763,181351501.0,7295468184.0,8.61793,12.120455,sh.600276
2015-01-30,13.96496574,16.18345892,13.7854345,13.92649476,824280311.0,19110306692.0,-0.275482,38.119922,sh.600309
2015-01-30,22.20683118,27.20357298,22.20683118,24.5331831,449445928.0,13979297256.0,10.475839,43.357659,sh.600332
2015-01-30,13.9889475,16.72242,13.184985,15.1530852,239809072.0,11095664384.0,8.073394,18.127806,sh.600340
2015-01-30,1.87116,2.56723152,1.87116,2.24040224,102321115.0,917921295.0,18.002628,42.456894,sh.600346
2015-01-30,26.1731008,28.9246804,25.2369964,26.2487456,465006658.0,13269088322.0,0.252799,26.433405,sh.600372
2015-01-30,6.93824292,7.851921,6.7812045,7.62826022,975113882.0,15402874568.0,10.171821,44.207743,sh.600406
2015-01-30,21.8109023,25.4419077,21.44531477,24.34017113,53450517.0,4965353884.0,11.621807,33.222894,sh.600436
2015-01-30,3.7276539,4.48120114,3.69157983,4.34492132,212106424.0,2162798368.0,16.55914,30.850946,sh.600438
2015-01-30,43.21538296,44.81299416,36.944759,41.31821966,72185576.0,2963471496.0,-4.544406,52.087206,sh.600485
2015-01-30,6.9947968,7.9376128,6.9947968,7.4662048,1190929701.0,20124333230.0,5.788804,54.164818,sh.600518
2015-01-30,137.49858174,148.09993848,124.33752669,128.47800186,96436064.0,17936139340.0,-6.560489,8.444504,sh.600519
2015-01-30,9.7017093,14.65515,9.59912325,12.53015325,1168387793.0,28895925278.0,29.219144,82.103186,sh.600547
2015-01-30,17.13194646,20.17859898,15.53354868,18.7053204,310661951.0,18374684480.0,9.203798,50.284776,sh.600570
2015-01-30,14.407155,14.7913458,12.57584552,12.66549004,1210508118.0,26095889860.0,-10.416667,30.264953,sh.600585
2015-01-30,8.46045525,14.5498275,8.334716,12.2290402,849644399.0,28310407200.0,44.912729,73.284508,sh.600588
2015-01-30,9.2209384,12.8030245,9.0690966,11.7608376,460611232.0,7027551530.0,31.684699,88.866174,sh.600606
2015-01-30,22.443187,25.0804103,21.5383158,23.6457132,310625803.0,12077255908.0,4.857445,27.890432,sh.600637
2015-01-30,7.33744528,8.33729864,7.27908808,7.7615076,733643909.0,14875878618.0,7.489224,26.806229,sh.600690
2015-01-30,8.20211022,10.46893815,8.08675002,9.805617,1631244575.0,27190014330.0,19.54993,74.637833,sh.600703
2015-01-30,13.42735216,13.42735216,13.42735216,13.42735216,0.0,0.0,0.0,0.0,sh.600745
2015-01-30,3.42757974,3.6274602,2.82053538,2.96859498,11860345744.0,51068113040.0,-13.390929,69.815966,sh.600795
2015-01-30,14.22599766,15.9413211,12.67226266,13.36833594,172139359.0,3954543808.0,-6.028834,19.881008,sh.600809
2015-01-30,13.76925296,15.51282696,12.952264,14.10800448,999843872.0,14391881974.0,2.312139,31.379121,sh.600832
2015-01-30,19.78647659,20.75985018,15.26315226,16.25288507,7284386267.0,160528997970.0,-17.414796,90.018144,sh.600837
2015-01-30,10.29849248,10.96176104,9.28575984,9.7350708,1238949194.0,35038583770.0,-4.645477,41.190885,sh.600887
2015-01-30,27.6830916,32.1437834,27.472501,29.8847206,410391762.0,12812068874.0,7.803867,37.781505,sh.600893
