标的,累计收益率,年化收益率,最大回撤,卡玛比率
PEG策略,-0.0938809720549707,-0.033378103236706425,-0.37553875904633477,-0.08888058138517778
沪深300,0.17878279204919356,0.05827469508536298,-0.2513801565093687,0.23181899436517833
