股票,代码,CAPM_Alpha,CAPM_Beta,CAPM_R2,CAPM_Alpha_P,CAPM_Beta_P,TwoFactor_Alpha,TwoFactor_Beta_MKT,TwoFactor_Beta_PETTM,TwoFactor_R2,TwoFactor_Alpha_P,TwoFactor_Beta_MKT_P,TwoFactor_Beta_PETTM_P
贵州茅台,sh.600519,0.0009503542851744483,1.1250696792189598,0.484803119920593,0.020397753815868745,9.39098383723163e-177,0.0006290742097457539,1.1247073544772022,0.0007104959207092029,0.48488045409901903,0.46334785397064315,1.8316312085940243e-176,0.6699017671884844
中国石油,sh.601857,-0.00031664986443165317,0.444422925329325,0.14388615881939382,0.4079877551143454,7.817840358698552e-43,-0.0015271776349034978,0.4443186467142134,0.0018251280285758143,0.14437721946402993,0.30933836165434725,8.387670155311575e-43,0.4046267252661515
五粮液,sz.000858,0.0009482377511001647,1.4547115801492896,0.5191695236461893,0.05517151358046717,6.155421354740247e-195,0.0007729694720117468,1.4543499247114693,0.00045748846154980525,0.5191887183338909,0.4100220880193831,1.7337769608929093e-194,0.826005792853524
泸州老窖,sz.000568,0.00128228091130135,1.4892052765639312,0.43808021235227623,0.03140433115339225,6.942343579457167e-154,-0.0003444182438548844,1.4881740247521025,0.00450132062518263,0.4394559844066077,0.757524427443256,7.269556435905299e-154,0.08496076535548065
招商银行,sh.600036,0.00025179581616853843,1.0232622838831433,0.44381803023594313,0.5334692673463566,1.3724435339756166e-156,-0.002140318319442208,1.0206896692415333,0.004492165061220075,0.44641326129244063,0.04814039978483932,2.710091736527878e-156,0.017340289537730237
美的集团,sz.000333,0.0001539643247979245,1.1291574317646704,0.4458468088933988,0.7289665354749763,1.4953571884696435e-157,-0.0009941178237061479,1.1267198465767398,0.002842534838735728,0.44674503784472175,0.28605833907128353,7.768467232219434e-157,0.16111857793058332
