股票,代码,α(Alpha),β(Beta),Alpha_PValue,Beta_PValue
贵州茅台,sh.600519,0.0007695872548632924,1.1114895422715658,0.14334081803043558,8.784192934936742e-106
中国石油,sh.601857,-7.279004055591288e-05,0.35284853046851267,0.899274618401742,1.3981226510471236e-13
五粮液,sz.000858,0.0007691721413078319,1.4862236048880813,0.22286163719553745,3.905714368918942e-123
泸州老窖,sz.000568,0.0017550863608352724,1.5704128531442243,0.033831379210540725,1.7434839132063763e-90
招商银行,sh.600036,8.900191563021422e-05,1.0542705775036332,0.8765976073278842,4.698127250308418e-86
美的集团,sz.000333,0.0001018094244082943,1.126888274944164,0.8662205535581928,7.611564549283074e-88
